Q2,N,chi2,ndf,chi2_ndf,c1,c1_err,c2,c2_err,c3,c3_err,c1p,c1p_err,c2p,c2p_err,c3p,c3p_err
2.774,18,27.154876320075758,12.0,2.2629063600063133,319.9403831176992,59.57755910762389,-1323.1957168822646,292.692315853952,1413.5343013253512,356.36366659474885,210.33950459629634,79.57582206809542,-708.2228805331541,292.8935266252954,591.7247814561929,261.8075226621109
3.244,18,27.574349748343806,12.0,2.2978624790286504,166.9852438137856,36.32807185567825,-730.1896410892737,195.62968125126935,832.6968252411828,260.6637259829457,96.58310295901029,47.66850672396208,-339.7935343519858,188.61488166021417,298.60743119488507,180.38285884512163
3.793,18,23.050584363137403,12.0,1.9208820302614502,89.17860432807373,23.5598266849479,-414.31188460868117,140.47618805459896,508.5213190616888,206.87822969653186,44.7054470582682,30.872819271645827,-164.7227532882772,132.21674492281934,152.31961602461166,136.07719136772445
4.435,18,18.42989960894027,12.0,1.5358249674116893,47.96244061801678,14.706984209877449,-238.83773980426707,97.5230223169072,316.5032126209595,159.47001700223774,23.433468668276912,19.200749058968533,-91.02735494378967,89.49159138947833,89.5368651477252,99.65382348223748
5.187,18,17.912206360979248,12.0,1.4926838634149373,18.378522119797243,7.809092988024758,-86.99110133504765,57.89078103700057,110.6276329446258,105.71956497477068,5.668940428256819,10.229332529885179,-18.810652365747416,52.3109375492793,17.179976839268967,63.51534052412383
6.065,18,20.422252729975195,12.0,1.7018543941645996,9.908201252723096,3.8081874216504796,-53.54489269690511,32.11443717665284,79.95004463867005,66.59750082303925,3.8732169899611977,5.279647970070915,-16.19892827234063,29.884385487946165,18.651580189819935,39.90906688331733
7.093,18,15.833048528346168,12.0,1.319420710695514,3.026069856335867,2.212092401370762,-11.096694689480174,21.19499367433398,7.713163378305966,49.845174410287925,0.1793429026415371,3.1661245759560708,2.150166369042139,19.95460880205006,-3.9419010839772923,29.49092409607952
8.294,18,10.168198300020935,12.0,0.8473498583350779,1.5712135269884442,1.635494253737218,-5.191788208665421,17.547218327556056,0.7960971815884363,46.12118487739511,0.425109335955172,2.1924323480008163,-0.3664625623112837,15.231262188683994,-0.13230328962282745,24.668082029775114
9.699,18,10.595740598048094,12.0,0.8829783831706745,0.7862881063973992,0.824858603419099,-2.6179495790540224,10.129311449734361,-0.6491628558841649,30.39092151527768,0.3073351243861734,1.1411502186091593,-0.8542136699202464,8.887780335620786,1.253717055012215,16.04931100831633
